created_at,Temperature,RelativeHumidity,Pressure,Rain,LightIntensity
2018-08-18 03:18:09 UTC,25.1,99.9,1006.12,0,533
2018-08-18 03:41:29 UTC,25.2,99.9,1006.27,0,649
2018-08-18 04:04:51 UTC,26.1,99.9,1006.06,0,1023
2018-08-18 04:28:19 UTC,26.6,99.9,1006.3,0,896
2018-08-18 04:51:41 UTC,26.1,99.9,1006.34,0,499
2018-08-18 05:09:10 UTC,24.5,99.9,1006.7,2.25,119
2018-08-18 05:32:49 UTC,22.9,99.9,1006.58,9,219
2018-08-18 05:53:50 UTC,23.7,99.9,1006.5,2.25,804
2018-08-18 06:16:56 UTC,24.2,99.9,1006.49,2.25,219
2018-08-18 06:40:17 UTC,23.5,99.9,1006.37,0,324
2018-08-18 07:03:37 UTC,24.1,99.9,1006.12,0,260
2018-08-18 07:26:57 UTC,24.1,99.9,1005.25,0,422
2018-08-18 07:50:18 UTC,25,99.9,1004.28,0,2723
2018-08-18 08:13:41 UTC,28.3,99.9,1003.79,0,3669
2018-08-18 08:37:12 UTC,26.5,99.9,1003.97,0,984
2018-08-18 09:00:35 UTC,26.2,99.9,1003.7,0,728
2018-08-18 09:23:57 UTC,26.2,99.9,1003.34,0,994
2018-08-18 09:47:19 UTC,26.3,99.9,1003.1,0,947
2018-08-18 10:10:41 UTC,26.2,99.9,1002.47,0,859
2018-08-18 11:01:43 UTC,25.8,99.9,1001.48,0,0
2018-08-18 11:25:03 UTC,26.6,99.9,1001.84,2.25,444
2018-08-18 11:48:26 UTC,26.2,99.9,1001.8,0,508
2018-08-18 12:11:49 UTC,26.4,99.9,1002.48,0,326
2018-08-18 12:35:17 UTC,25.7,99.9,1002.78,0,199
2018-08-18 12:58:38 UTC,25.4,99.9,1003.11,0,103
2018-08-18 13:21:59 UTC,24.8,99.9,1003.4,0,21
2018-08-18 14:08:46 UTC,23.7,99.9,1003.54,0,0
2018-08-18 14:32:05 UTC,23.3,99.9,1003.06,0,0
2018-08-18 15:18:44 UTC,23.2,99.9,1003.91,0,0
2018-08-18 15:42:03 UTC,22.9,99.9,1004.28,0,0
2018-08-18 16:05:28 UTC,23.2,99.9,1004.65,0,0
2018-08-18 16:28:48 UTC,23,99.9,1004.72,0,0
2018-08-18 16:52:08 UTC,23,99.9,1004.58,0,0
2018-08-18 17:15:27 UTC,22.9,99.9,1004.59,0,0
2018-08-18 17:38:47 UTC,22.5,99.9,1004.71,0,0
2018-08-18 18:02:06 UTC,22.8,99.9,1005.05,0,0
2018-08-18 18:25:25 UTC,22.9,99.9,1005.01,0,0
2018-08-18 18:48:44 UTC,22.7,99.9,1004.87,0,0
2018-08-18 19:12:03 UTC,22.2,99.9,1005.07,0,0
2018-08-18 19:35:23 UTC,22.3,99.9,1004.74,0,0
2018-08-18 19:58:42 UTC,22.4,99.9,1004.3,0,0
2018-08-18 20:22:02 UTC,22.3,99.9,1003.9,0,0
2018-08-18 20:45:20 UTC,21.8,99.9,1003.83,0,0
2018-08-18 21:08:40 UTC,22,99.9,1003.86,0,0
2018-08-18 21:31:59 UTC,22.1,99.9,1003.73,0,0
2018-08-18 21:55:18 UTC,21.7,99.9,1003.43,0,0
2018-08-18 22:18:37 UTC,22.1,99.9,1003.46,0,0
2018-08-18 22:41:56 UTC,21.7,99.9,1003.6,0,0
2018-08-18 23:05:14 UTC,21.9,99.9,1003.44,0,0
2018-08-18 23:28:33 UTC,21.9,99.9,1003.85,0,0
2018-08-18 23:51:52 UTC,21.9,99.9,1003.89,0,0
2018-08-19 00:15:11 UTC,21.9,99.9,1003.94,0,1
2018-08-19 00:38:30 UTC,22,99.9,1003.96,0,20
2018-08-19 01:01:50 UTC,22.2,99.9,1004.27,0,39
2018-08-19 01:25:09 UTC,22.4,99.9,1004.29,0,130
2018-08-19 01:48:29 UTC,22.6,99.9,1004.42,0,227
2018-08-19 02:11:49 UTC,23,99.9,1004.41,0,179
2018-08-19 02:35:08 UTC,23.2,99.9,1004.69,0,273
2018-08-19 02:58:34 UTC,23.8,99.9,1004.5,0,456
2018-08-19 03:21:54 UTC,24.8,99.9,1004.38,0,607
2018-08-19 03:45:16 UTC,26,99.9,1004.51,0,619
2018-08-19 04:08:39 UTC,25.8,99.9,1004.69,0,409
2018-08-19 04:32:02 UTC,26.6,99.9,1004.69,0,931
2018-08-19 04:55:26 UTC,26.8,99.9,1004.81,0,1207
2018-08-19 05:18:50 UTC,28.5,99.9,1004.7,0,1092
2018-08-19 05:42:18 UTC,32.2,99.9,1004.67,0,688
2018-08-19 06:05:48 UTC,33.3,99.9,1004.37,0,1055
2018-08-19 06:29:20 UTC,34.6,96.8,1004.25,0,1268
2018-08-19 06:52:52 UTC,33.8,97.2,1003.68,0,3670
2018-08-19 07:16:27 UTC,37,86.9,1003.06,0,5330
2018-08-19 07:40:06 UTC,38,81.1,1003.09,0,4335
2018-08-19 08:03:45 UTC,37.2,82.5,1003.01,0,3064
2018-08-19 08:27:21 UTC,33.5,89.8,1002.97,0,900
2018-08-19 08:50:54 UTC,35.4,84.1,1001.92,0,4219
2018-08-19 09:14:29 UTC,34.8,81.2,1002,0,1549
2018-08-19 09:38:00 UTC,33,90,1001.95,0,1174
2018-08-19 10:01:28 UTC,30.7,92.5,1001.74,0,992
2018-08-19 10:24:55 UTC,30.2,91.1,1001.62,0,810
2018-08-19 10:48:24 UTC,29,94.9,1001.46,0,586
2018-08-19 11:11:49 UTC,29.1,96,1001.53,0,446
2018-08-19 11:35:13 UTC,28.4,98.7,1001.21,0,283
2018-08-19 11:58:37 UTC,27.9,99.9,1001.07,0,344
2018-08-19 12:22:10 UTC,27.9,99.9,1001.2,0,213
2018-08-19 12:45:31 UTC,27.3,99.9,1001.31,0,180
2018-08-19 13:08:54 UTC,26.5,99.9,1001.27,0,101
2018-08-19 13:32:16 UTC,26,99.9,1001.65,0,9
2018-08-19 13:55:38 UTC,25.4,99.9,1002.31,0,0
2018-08-19 14:18:58 UTC,24.6,99.9,1002.76,0,0
2018-08-19 14:42:19 UTC,24.8,99.9,1002.87,0,0
2018-08-19 15:05:40 UTC,24.6,99.9,1003.11,0,0
2018-08-19 15:29:00 UTC,24.6,99.9,1003.19,0,0
